Certification,Issuer,Issue Date,Expiry Date,Area
SnowPro Advanced: Data Engineer Certification,Snowflake,2025-05,2027-05,Cloud/Data Engineering
Databricks Certified Machine Learning Professional,Databricks,2025-01,2027-01,Machine Learning
Databricks Certified Machine Learning Associate,Databricks,2024-12,2026-12,Machine Learning
Databricks Certified Generative AI Engineer Associate,Databricks,2024-10,2026-10,AI/Generative AI
Microsoft Certified: Azure Data Engineer Associate,Microsoft,2024-09,,Cloud/Data Engineering
Matillion Associate Certification,Matillion,2024-08,2027-08,Cloud/Data Engineering
Microsoft Certified: Azure AI Fundamentals,Microsoft,2024-06,,AI/Generative AI
COF-C02 - SnowPro Core Certification,Snowflake,2024-04,2026-04,Cloud/Data Engineering
Microsoft Certified: Azure Data Fundamentals,Microsoft,2024-03,,Cloud/Data Engineering
Microsoft Certified: Azure Fundamentals,Microsoft,2023-04,,Cloud/Data Engineering
Credit Risk Modeling in Python 2021,Udemy,2021-12,,Risk Modeling
